jobid,title,primaryresponsibility,primaryperks,primaryrequirement,datecreated,dateupdated,dateactivated,activestatus,expirydate,company,minexp,maxexp,mincompensation,maxcompensation,numberofdays,additionalcompensation,professions,cities
128,UI Designer,"<ul><li>Work on website, enterprise applications (multichannel), embedded product UI’s</li><li>Translate high level design requirements into wireframes and engaging, intuitive and functional user interfaces</li><li>Ability to execute visual designs at all stages of the project. From conceptual to finalization and handover</li><li>Ability to create visual design concepts, style guides, and design documents</li><li>Conduct expert / heuristic evaluation reviews of the products and services. Providing design recommendations.</li><li>Collaborate with product management and engineering teams to implement innovative solutions</li><li>Work closely with the developer team, manage and maintain designs to meet customer needs, validate and ensure delivering world class experiences</li><li>Participate in design discussions and collaborative sessions with teams and stakeholders, offering and providing feedback on concepts and ideas to evolve experience</li><li>Create mood boards, mind maps and be a part of brainstorming sessions</li><li>Deliver high fidelity schematics, workflows, interaction storyboards, and design deliverables that guide creative, content, and development efforts</li><li>Be a productive and additive teammate, actively helping leaders and peers to raise the bar while also capitalizing on ideas from others</li><li>Knowledge of Mobile, Tablet, and Desktop design constraints and patterns</li></ul>",NULL,"<ul><li>A talented UI Designer with keen eye to details, a story teller and a problem solver</li><li>Excellent understanding of typography, Color, Layout</li><li>Strong verbal and writing skills, ability to tell a story around an experience or solution</li><li>Fluency in creating user flows, wireframes and prototypes preferably on Adobe CS, Sketch, Microsoft Office, Axure etc</li><li>Contributes to building a design centric work culture</li><li>Masters or Bachelor’s visual communication / graphic design degree from reputed design institutes</li></ul>",5/9/2017 6:42,10/6/2017 7:19,NULL,1,10/5/2017 17:12,Peepal Design,12,36,-1,-1,NULL,NULL,UI Design$$$Product Design$$$Mobile Design$$$Web Design,Bangalore
129,Graphic Designer,"<ul>
<li>
<p>You must love fast-paced work environments. Like emergency wards. Only, you know, without people dying and stuff. Because whether it&rsquo;s the demonetization news that broke out at night or the US election results that broke out in the morning, you must be ready with a cup of coffee, and an idea that has the potential to break the internet. No pressure!</p>
</li>
<li>
<p>You must be a little eccentric to be able to keep up with the pace at which the marketing team comes up with campaigns, and design all the collaterals that go with it</p>
</li>
<li>
<p>Do you watch a lot of videos and think you could have made them way better? Well, that&rsquo;s the only kind of arrogance we like! Making, editing sound and video creatively and within budget is a must.</p>
</li>
</ul>","<p><strong>Culture @ Nearbuy </strong></p>
<p>Imagine being surrounded all day by street-smart, confident and quirky people. Even if you&rsquo;re not standing on the sets of &lsquo;How I Met Your Mother&rsquo;. Seriously, the last time a Nearbuy employee called someone Sir, s/he was probably standing in front of a professor explaining the doodle on the note they were passing in class.)</p>
<p>&nbsp;It&rsquo;s also a place where people like to build new stuff (not necessarily out of Lego) and believe in odd things &ndash; like there&rsquo;s something new to be learned every day and that ideas can come from anywhere. Honestly, we love exchanging ideas and everyone has an &lsquo;open-door&rsquo; policy, whether it&rsquo;s your reporting manager or the friendly CEO next door.</p>
<p>Actually, that was a lie &ndash; we don&rsquo;t have an open-door policy. We don&rsquo;t even have doors. We&rsquo;re cool like that.</p>
<p><strong>Fun @ Nearbuy </strong></p>
<p>At Nearbuy (formerly known as Groupon India), fun takes all kinds of bizarre turns. Whether it&rsquo;s odd events (read Twin Day, Halloween Parties, Fashion Disaster, Retro Day), unexpected cake, random photo shoots (if you own a DSLR, you are our new best friend), stand-up comedy one-offs, well, you get the gist. Oh, and we take a very out-of-the-box approach to work. In this case, the box being the office&hellip;Because we have tons of team outings, get togethers and trips. And this is not including the annual offsite where employees from all over the country come together for a weekend of activities, talent shows, dancing, awards, discussions and much more.</p>
<p><strong>Tips from a Nearbuy Veteran</strong></p>
<ul>
<li>Everyone needs a friend to stay by their side through late nights. Make coffee yours</li>
<li>That report you stayed up all night preparing? There&rsquo;s a good chance it&rsquo;s going to be scrapped &ndash; we love reinventing and soon you will too (insert evil laugh here)</li>
<li>We believe in casual dressing. But just to be clear, casual doesn't include boxers, feathers, oh god, we're giving you ideas!!!</li>
<li>It may be a bit difficult separating your professional life from your personal life &ndash; because at Nearbuy, it&rsquo;s like working with family. But in a good way</li>
</ul>","<ul>
<li>1+ years of experience working as a Graphic Designer for digital channels</li>
<li>Demonstrated ability and working knowledge of Adobe Creative Suite</li>
<li>Ability to thrive in a dynamic and fast-changing environment</li>
<li>Must be able to work independently, make sound decisions, think strategically, and maintain accuracy</li>
<li>Strong and innovative approach to problem solving and finding solutions</li>
<li>Excellent communicator (written and verbal, formal and informal)</li>
<li>Flexible and proactive/self-motivated working style with strong personal ownership of problem resolution</li>
<li>Would be great to have someone from an Art school</li>
</ul>
<p><strong>What would be awesome?</strong></p>
<ul>
<li>You are a Dilbert fan and a Batman fan and are not in therapy because of this</li>
<li>You do a little dance every time you get a good deal in the vegetable market</li>
<li>You are so data driven, you stalk people online before agreeing to a blind date with them</li>
<li>You love fast-paced work environments. Like emergency wards. Only, you know, without people dying and stuff</li>
</ul>
<p><strong>Selection Process</strong></p>
<p>The selection process is fairly simple:</p>
<ul>
<li>The profile of the candidate will be screened and shortlisted</li>
<li>The shortlisted candidates will go through a telephonic round</li>
<li>A design exercise would be given to the designer</li>
<li>The shortlisted candidate will go through 2-3 rounds of discussion with the design and marketing team</li>
</ul>",5/9/2017 7:33,11/6/2017 10:35,10/5/2017 7:31,1,11/5/2017 10:35, Nearbuy,24,36,NULL,800000,-1,NULL,Graphic Design$$$Web Design$$$Communication Design,Bangalore
130,UI Architect ,NULL,NULL,"<p>Business Knowledge: Domain experience would be a plus

Personal Attributes: Strong and innovative approach to problem solving and finding solutions b. Excellent communicator (written and verbal, formal and informal) c. Flexible and proactive/self-motivated working style with strong personal ownership of problem resolution d. Ability to multi-task under pressure and work independently with minimal supervision
</p><ul><li>Strong understanding of UI concepts, techniques, frameworks and tools</li><li>Strong experience in Object Oriented JavaScript</li><li>Expert in latest industry standard JavaScript frameworks  - React.js</li><li>Expertise in Redux, Flux, SPA</li><li>Proficiency in HTML5 and CSS3</li><li>Strong expertise in native java script</li><li>Exposure to backbone or similar platform is an added advantage</li><li>Minimal exposure to either angular.js or node.js</li><li>Expert knowledge of AJAX & JSON technologies, and development of cross-browser compatibility</li><li>Drive performance tuning and usability improvements </li><li>Experience in working with marketing/product team to drive AB testing </li><li>Able to quantify performance and quality of UI being built by using empirical data points</li><li>Collaborate with Product Owners, UX researchers/designers and fellow software developers to influence product direction and functional requirements</li><li>Good understanding on how to secure web applications</li><li>Should be able to communicate clearly to the team, mentor and help them up-skill</li><li>Should have practiced Agile</li><li>Technologies: </li><li>HTML & CSS</li><li>OOJS</li><li>React JS</li><li>Angular JS</li><li>AJAX & JSON.</li></ul>",5/12/2017 7:12,9/14/2017 13:22,NULL,1,9/13/2017 17:12,SapientNitro,120,252,NULL,NULL,NULL,NULL,UI Development$$$Web Development,Bengaluru
131,Senior UI Developer ,NULL,NULL,"<p>Business Knowledge: Domain experience would be a plus

Personal Attributes: Strong and innovative approach to problem solving and finding solutions b. Excellent communicator (written and verbal, formal and informal) c. Flexible and proactive/self-motivated working style with strong personal ownership of problem resolution d. Ability to multi-task under pressure and work independently with minimal supervision
</p><ul><li>Strong understanding of UI concepts, techniques, frameworks and tools</li><li>Strong experience in Object Oriented JavaScript</li><li>Expert in latest industry standard JavaScript frameworks  - React.js</li><li>Expertise in Redux, Flux, SPA</li><li>Proficiency in HTML5 and CSS3</li><li>Strong expertise in native java script</li><li>Exposure to backbone or similar platform is an added advantage</li><li>Minimal exposure to either angular.js or node.js</li><li>Expert knowledge of AJAX & JSON technologies, and development of cross-browser compatibility</li><li>Drive performance tuning and usability improvements </li><li>Experience in working with marketing/product team to drive AB testing </li><li>Able to quantify performance and quality of UI being built by using empirical data points</li><li>Collaborate with Product Owners, UX researchers/designers and fellow software developers to influence product direction and functional requirements</li><li>Good understanding on how to secure web applications</li><li>Should be able to communicate clearly to the team, mentor and help them up-skill</li><li>Should have practiced Agile</li><li>Technologies: </li><li>HTML & CSS</li><li>OOJS</li><li>React JS</li><li>Angular JS</li><li>AJAX & JSON.</li></ul>",5/12/2017 7:12,10/6/2017 7:19,NULL,1,10/5/2017 17:12,SapientNitro,60,96,-1,-1,NULL,NULL,UI Development$$$Web Development,Bengaluru
132,UI Developer,"<p>We’re looking for a mid-level UI developer with 3+ years of experience. Someone who can convert pixel perfect layout from the source files like PSD or illustrator.
We’d like someone who is:</p><ul><li>Keen observer to detail</li><li>Develop the frontend logic and UI</li><li>Participate in the design of new features and implementing them</li><li>Contribute to architecture, design and review discussions</li><li>Contribute to review and analysis of business requirements</li><li>Evolve Front-End architecture</li></ul>","Synerzip focuses on building cutting-edge software solutions for its innovative technology clients. Synerzip is based in the United States, with its development center in Pune, India. This dual shore model gives clients the ability to tap into Synerzip’s superior engineering talent, while serving as an extension to current development.

Our work culture and policies enable all employees to strike a perfect work life balance. We encourage our team to learn new technologies, and we also offer mentor programs which adds value to individuals as well as to the organization as a whole.
","<ul><li>3+years of professional web development experience</li><li>Expert level knowledge of HTML5, CSS3, Bootstrap, Foundation, SAAS/LESS frameworks, Jquery</li><li>Experience working with client side MVC frameworks such as Ember, Angular or Backbone</li><li>Proficiency in frontend technologies like Experience in working with web services specially RESTful APIs</li><li>Experience using testing tools such as phantomJS, Jasmine or Qunit</li><li>Quick learner with excellent communication skills</li></ul>",5/18/2017 6:14,10/6/2017 7:19,NULL,1,10/5/2017 17:12,Synerzip,36,60,-1,-1,NULL,NULL,UI Development$$$Web Development,Pune
133,User Experience Designer,"<p>We are looking for an experienced UX Designer who is passionate about designing products for the next billion people of India who have fundamentally different needs &ndash; access, language, selection, supply chain, financial, cultural, and the like. The UX designer will be a member of our core design team and will work closely with product and engineering teams to research and design experiences for our customer facing android app, seller apps and associated platforms.</p>
<p class=""Default""><strong><span style=""font-size: 11.0pt;"">Product </span></strong></p>
<ul>
<li class=""Default"">Compulsive problem-solvers with excellent visualization, collaboration, and communication skills</li>
<li class=""Default"">Ability to understand the complex systems, processes, and relationships of people and products</li>
<li class=""Default"">Ability to creatively solve problems at all levels of detail, from the big picture to the nuts and bolts</li>
<li class=""Default"">Collaborate with user research teams in planning and executing user experience research processes like contextual interviews, card sorting, heuristic evaluations and usability testing</li>
<li class=""Default"">Demonstrated experience in turning research insights into viable design concepts and manifesting them into seamless experiences</li>
<li class=""Default"">Ability to own end-to-end product design and produce usable designs iteratively</li>
<li class=""Default"">Experience in prototyping design concepts for mobile and collaborating with user researchers in the process of evaluation and iterative design</li>
<li class=""Default"">Experience in designing mobile apps for Indian audience would be preferred</li>
<li class=""Default"">Excellent knowledge in design tools like Sketch, Photoshop and Illustrator</li>
<li class=""Default"">Great communication skills &ndash; ability to present design, communicate concepts and explain design choices</li>
</ul>
<p class=""Default""><strong><span style=""font-size: 11.0pt;"">Process </span></strong></p>
<ul>
<li class=""Default"">Hands on experience and compulsive practitioners of user centric design processes&nbsp;</li>
<li class=""Default"">Familiarity with Lean UX processes. Ability to work with highly technical teams and handle multiple projects in a fast-paced early stage startup environment</li>
<li class=""Default"">Experience in performing User Experience Research and Usability Testing</li>
<li class=""Default"">Inherently practice documentation of all design processes and design decisions</li>
<li class=""Default"">Ability to use data to make design decisions, and Ability to work with product/tech teams to study product performance and iterate design backed by data driven hypothesis</li>
</ul>",,"<p><strong>If you </strong></p>
<p>have a strong sense of design, and can communicate complex thoughts using design</p>
<p>love solving real world problems using design and technology</p>
<p>love design and have a natural inclination in solving problems with better design</p>
<p>can apply first principles thinking to solve problems</p>
<p>can envision a great future that you want create</p>
<p>have the fire in your belly to get out of your cube and do something about your vision and passion</p>
<p>work with some really smart people, and still raise the bar for all of us</p>
<p>can have fun and help your colleagues have fun doing all of the above&hellip;</p>
<p><strong>Other Requirements</strong></p>
<ul>
<li>Bachelors or Master&rsquo;s degree in design from top tier institute or equivalent professional experience required</li>
<li>4 &ndash; 8 years of proven professional experience as a product designer or relevant roles</li>
<li>Customer-obsessed, detail-oriented, and enthusiastic team player, with excellent communication, presentation, and interpersonal skills</li>
<li>Highly motivated to design for an audience who represent the next billion people of the country and first time mobile app adopters</li>
</ul>",5/22/2017 9:07,9/14/2017 11:47,NULL,1,NULL,JumboTail,48,96,NULL,NULL,-1,NULL,Information Architecture$$$Interaction Design$$$UX Design$$$Mobile Design,Bangalore
134,Senior Visual Designer,"<p>As a Visual Designer, You will be executing the visual direction for all Smartron’s digital experiences while supporting its brand. This is a mid-level individual contributor role in our User experience team.</p><ul><li>Design the visual UI elements of the user-experience while maintaining brand standards</li><li>Ideate and provide solution for UI design problems</li><li>Maintain and evolve the digital brand language</li><li>Co-ordinate with the development team for implementation of your designs.</li></ul>",NULL,"<ul><li>Ideally 2+ years of experience for the Visual Designer and 4+ years for Senior Visual Designer in the field of UI Design, Visual Design, Graphic design and user-experience</li><li>Absolutely required - Bachelor’s or Master’s degree, diploma or certification in Graphic Design, Visual arts, Applied/Commercial Arts or related design field from a top institution</li><li>Thorough experience with Sketch App, Photoshop and Illustrator</li><li>Broad portfolio of work covering products and services on web, mobile and desktop platforms</li><li>Articulate and communicate design thinking in coherent written and spoken English</li></ul>",5/22/2017 9:07,10/6/2017 7:19,NULL,1,10/5/2017 17:12,Smartron,12,84,-1,-1,NULL,NULL,UI Design$$$Product Design$$$Mobile Design$$$Graphic Design,Bangalore
135,Senior Graphic Designer,"<ul><li>Take active participation in development of marketing creatives and contributes effectively</li><li>Conceptualize and Design creatives for marketing collaterals, social campaigns, email campaigns etc</li><li>Developing design briefs by gathering information and data through research and brainstorming</li></ul>",<ul><li>Being part of a Team that defines and implements designing plans for an Industry-changing company</li><li>Pride of working for India’s first and largest Robo Financial Advisory firm</li><li>Top of the line challenging work</li><li>Unmatched learning opportunities</li><li>Transparent & open-door work culture</li><li>Multi-disciplinary exposure</li></ul>,"<ul><li>At least 2 years of experience with Marketing and Communication Designs</li><li>Exceptional communication skills, both written and verbal</li><li>Extremely good in designing skills, Photoshop, in design, illustrator and coral draw.</li><li>Ability to work in an ever-changing dynamic work culture with minimum supervision</li><li>Ability to adapt to changing dynamics of the organization.</li><li>Willingness to work in a start-up environment</li></ul>",5/23/2017 13:19,10/6/2017 7:19,NULL,1,10/5/2017 17:12, Arthayantra,36,60,-1,-1,-1,NULL,Graphic Design$$$Branding$$$Communication Design,Hyderabad
136,Web Developer,"<p>We are looking for a UI/UX Front-End Web Developer who is motivated to combine the art of design with the art of programming. Responsibilities will include creating UIUX design Wireframe as well translation of the UI/UX design wireframes to actual code that will produce visual elements of the application. You will work with the UI/UX Designer/Frontend Developer and bridge the gap between graphical design and technical implementation, taking an active role on both sides and defining how the application looks as well as how it works.</p><ul><li>Develop new user-facing features</li><li>Build reusable code and libraries for future use</li><li>Ensure the technical feasibility of UI/UX designs</li><li>Optimize application for maximum speed and scalability</li><li>Assure that all user input is validated before submitting to back-end</li><li>Collaborate with other team members and stakeholders.</li></ul>",NULL,"<ul><li>Proficient understanding of web markup, including HTML5, CSS3</li><li>Proficient understanding of client-side scripting and JavaScript frameworks, including jQuery</li><li>Proficient understanding of CSS frameworks including bootstrap</li><li>Would be added advantage if knows any of { AngularJS, KnockoutJS, BackboneJS, ReactJS etc.}</li><li>Good understanding of asynchronous request handling, partial page updates, and AJAX</li><li>Proficient understanding of cross-browser compatibility issues and ways to work around them</li><li>Proficient understanding of code versioning tools, such as {{Git / Mercurial / SVN}}</li><li>Good understanding of SEO principles and ensuring that application will adhere to them.</li><li>Proficient understanding of web Mockup design tools like adobe Photoshop, adobe illustrator is a must  and would be added advantage if knows adobe suite & and mockup creation tools.</li></ul>",5/25/2017 12:10,10/6/2017 7:19,NULL,1,10/5/2017 17:12,Nerdy Turtlez,36,72,500000,800000,NULL,NULL,UI Development$$$Web Development$$$Web Design,Delhi
137,Visual Designer,"<p>We are looking for a Visual Designer to join our design team. You will have the opportunity to give life using visual design to a product that can change the face of food and groceryecosystem in the country. You would design products for the next billion people who cannotread/write English or even their mother tongue, and visual Design is the language ofcommunication for them.
Product
</p><ul><li>Design outstanding visuals for Mobile, Web, Backend applications and collaborateclosely with UX designers to translate wireframes into visual designs and give life to the user experience</li><li>Design clean interfaces that visually communicate the UX for a target audience who are multi-lingual speaking, first time users of mobile apps</li><li>Establish the design language, style guides, design libraries and design assets that can be used across multiple apps and use cases.</li><li>Have deep knowledge of Information Design,  Iconography, Typography, Layout and Color theory</li><li>Experience in delivering design assets for development and ability to partner withfront-end engineers to ensure design consistency</li><li>Excellent collaboration, written and verbal communication skills with an eye for detail</li><li>Excellent knowledge in design tools like Sketch, Photoshop and Illustrator</li><li>Experience in prototyping designs for mobile and collaborating with user researchers</li><li> Process : </li><li>Aware of user-centric design processes from research to design and usability testing</li><li>Familiarity with Lean UX process. Ability to work with highly technical teams and handlemultiple projects in a fast-paced early stage startup environment</li><li>Experience using user research to inform design decisions</li><li>Ability to use data to make design decisions, and Ability to work with product/tech teamsto study product performance and iterate design backed by data driven hypothesis.</li></ul>",NULL,"<p>If you
Have a strong sense of design, and can communicate complex thoughts using design
Love solving real world problems using design and technology
Love design and have a natural inclination in solving problems with better design
Can apply first principles thinking to solve problems
Can envision a great future that you want create
Have the fire in your belly to get out of your cube and do something about your vision and passion
Work with some really smart people, and still raise the bar for all of us
Can have fun and help your colleagues have fun doing all of the above..
Other Requirements</p><ul><li>Bachelors or Master’s degree in design from top tier institute or equivalent professional experience required</li><li>At least 2 years of proven professional experience as visual designer for native mobile applications</li><li>Customer-obsessed, detail-oriented, and enthusiastic team player, with excellentcommunication, presentation, and interpersonal skills</li><li>Highly motivated to design for an audience who represent the next billion people of thecountry and first time mobile app adopters</li></ul>",5/25/2017 12:10,1/5/2018 10:05,NULL,1,1/4/2018 10:05,JumboTail,24,60,NULL,NULL,NULL,NULL,UI Design$$$Product Design$$$Mobile Design,Bangalore
138,UI Developer,"<p>We&rsquo;re looking for a mid-level UI developer with 3+ years of experience. You willbuild the web architecture and process for Web Development across multiple JS frameworks.</p>
<ul>
<li>
<p>Build web application using one or more java script frameworks (Front-End and Web Backend)</p>
</li>
<li>Programming experience in TDD-Test Driven Development</li>
<li>
<p>&nbsp;Understand the requirements and take lead in designing and developing application.</p>
</li>
<li>
<p>Participate in the design of new features and implementing them</p>
</li>
<li>
<p>Contribute to architecture, design and review discussions</p>
</li>
<li>
<p>Build reusable UI code and libraries</p>
</li>
<li>
<p>Ensure technical feasibility of UI/UX designs</p>
</li>
<li>
<p>Evolve Front-End architecture</p>
</li>
</ul>",,"<ul>
<li>
<p>Bachelor&rsquo;s or Master&rsquo;s in Computer Science or related Engineering fields</p>
</li>
<li>
<p>3+ years of professional web development experience</p>
</li>
<li>
<p>Strong understanding Angular JS 1/2 and Node modules</p>
</li>
<li>
<p>Hands on experience on Javascript (ES5 &amp; ES6)</p>
</li>
<li>
<p>Basic Knowledge of Typescript</p>
</li>
<li>
<p>Hands on experience on HTLM5,CSS3 and bootstrap</p>
</li>
<li>
<p>Proficiency in frontend technologies like Experience in working with web services specially RESTful APIs</p>
</li>
<li>
<p>Basic knowledge of Angular CLI and Gulp</p>
</li>
<li>
<p>Awareness of DevOps concepts</p>
</li>
<li>
<p>Basic knowledge of using node with express.</p>
</li>
<li>
<p>Developing REST services with node using some of rest libraries</p>
</li>
</ul>",5/25/2017 12:10,1/5/2018 11:13,9/28/2017 11:04,1,NULL,CoHere Med,36,60,NULL,1000000,5,NULL,UI Development$$$Web Development,Bangalore
139,Lead / Senior Visual Designer,"<p>As a Visual Designer, You will be executing the visual direction for all Clay Consulting’s digital experiences while supporting the clients brand. This is a mid-senior level individual contributor role in our User experience team.</p><ul><li>Design the visual UI elements of the user-experience while maintaining brand standards</li><li>Ideate and provide solution for UI design problems</li><li>Maintain and evolve the digital brand language</li><li>Co-ordinate with the development team for implementation of your designs.</li></ul>",NULL,"<ul><li>Flexible Working hours – Daily time in office is typically 3 to 5 hours. Freedom to work remotely, and required at times from client office</li><li>Travel – Be ready to travel in India and overseas for projects</li><li>Ideally 2+ years of experience for the Visual Designer and 4+ years for Lead Visual Designer in the field of UI Design, Visual Design, Graphic design and user-experience</li><li>Absolutely required - Bachelor’s or Master’s degree, diploma or certification in Graphic Design, Visual arts, Applied/Commercial Arts or related design field from a top institution</li><li>Thorough experience with Sketch App, Photoshop and Illustrator</li><li>Broad portfolio of work covering products and services on web, mobile and desktop platforms</li><li>Articulate and communicate design thinking in coherent written and spoken English.</li></ul>",6/1/2017 7:23,10/6/2017 7:19,NULL,1,10/5/2017 17:12,Clay Consulting,12,84,800000,1800000,NULL,NULL,UI Design$$$Product Design$$$Mobile Design$$$Web Design,Bangalore
140,Senior UI Architect,"<p>We are looking for highly passionate frontend engineers to make an uber cool user interface for Doctors to visualize and interact with medical images and videos. The engineering team of SigTuple is responsible for building the ecosystem for helping doctors visualize and annotate data and medical reports on a large scale, hence we are on a mission to build elegant user interfaces for interpreting numeric data and visuals.
You will be creating interactive and involved interfaces for AI based solutions which will be used by medical specialists. Apart from building an intuitive UI, an added challenge in this role is to support complex image and video handling on the client side in an optimized manner.
You should be an active practitioner of front-end engineering excellence: keeping a high bar for quality, consistency, maintainability, site latency, efficiency, security and all the other things that make great user interfaces amazing. In addition, you should contribute elegant, practical code to the corpus of the project.
If you are Creative and are impelled to create great user experience and are keen to make a difference in a unique way, then we are looking for you…. 
</p><ul><li>Design and implement all user interfaces required for an AI platform.</li><li>Interact with product team to crystallize UI/UX requirements</li><li>Own the UI technology stack, introduce and utilise pertinent frameworks and technologies which are scalable and flexible enough to cater to the platform’s roadmap.</li></ul>",NULL,"<ul><li>Experience of UI technologies with development of responsive web applications</li><li>Proficient understanding of web markup, including HTML5, CSS3 and Javascript libraries like jQuery</li><li>Great Knowledge of at least one Javascript framework -AngularJS, ReactJS</li><li>Experience in development of Android/IOS apps is preferred</li><li>Good knowledge of UI design principles, patterns and best practices</li><li>Graduate/Post graduate degree in any engineering or scientific discipline</li><li>Minimum 3 years of experience in UI, front-end development</li><li>A portfolio of creating visually appealing and interactive user interfaces</li><li>Be an innovative and creative thinker, somebody who is not afraid to try something new and inspire others to do so</li><li>Thrive in a fast-paced and fun environment</li><li>Work with a bunch of data scientist geeks and disruptors striving for a big cause</li></ul>",6/8/2017 7:19,6/8/2017 7:19,NULL,1,NULL,Sigtuple,48,72,1500000,3000000,NULL,NULL,UI Development$$$Web Development,Bangalore
141,Senior Graphic Designer,"<p><p>We are looking forward for a young passionate designer who loves art and design and can work on various website designs and manage Darwin Labs at various media fronts.</p></p><ul><li>Design graphics, illustrations, and banners for digital interfaces</li><li>Design web layout and sit with the design review team to build a consistent web design</li><li>Work with a wide range of media and use graphic design software</li><li>Think creatively and develop new design concepts, graphics, and layouts</li><li>Prepare rough drafts and present your ideas</li><li>Amend final designs to clients comments and gain full approval</li><li>Work as part of a team with copywriters, designers, executives etc.</li><li>Ability to understand concepts and learn in a team environment</li><li>Assist in Strategizing</li><li>Analyze the consumer requirements and expectations from a particular product or brand</li></ul>","<p><p>Darwin Labs is a culture; a culture of ideation, experimentation and execution driven by just one word &ldquo;Evolution&rdquo;. It is our desire to evolve, both personally and communally as mankind, which breathes through the close knitted fibers of our team and their products.</p></p><ul><li>The most challenging environment to test and push your skills in the whole country</li><li>Free snacks, because we work better on a full stomach</li><li>Free coffee, because that our fuel to reach great successes</li><li>Casual dress code, because a genius at work does not need to dress to impress</li><li>Flexible timings, we don't mind you coming a bit late or going a bit early since you're delivering awesomeness</li></ul>","<p><p>.</p></p><ul><li>Up to date with latest Design software and technologies (In Design, Illustrator, Dreamweaver, Photoshop etc.)</li><li>1 to 3 years of experience in graphic designing</li><li>Highly proficient in all design aspects and must have a solid design process</li><li>Possession of creative flair, versatility, conceptual/visual ability and originality</li><li>Demonstrable graphic design skills with a strong portfolio</li><li>Think analytically from different perspectives to forecast the consequences and have branding plans accordingly</li></ul>",6/8/2017 12:43,10/6/2017 7:19,NULL,1,10/5/2017 17:12,Darwin Labs,12,36,500000,700000,-1,NULL,Branding$$$Graphic Design$$$Illustration$$$Print Design,Gurgaon
142,Art Director,"<p>We are looking for a supremely Creative Designer for our Bangalore office, an artist with a strong background in designing for consumer-facing brands. Our Design Consultants have strong passion for design storytelling, and will ensure everything it takes to make it pixel perfect.</p>
<p>As a Design Consultant, your responsibility will be to ensure the brand, graphics, illustrations, logos, icons, and everything else you create aligns with the style &amp; mission of our clientele. You must be proficient with design principles such as typography, illustration, imagery, content, and composition, and excel in blending them to tell a brand's story.</p>",,"<p><p>.</p></p><ul><li>3-5 years of experience with Graphic, Print and Communication Design</li><li>Extensive knowledge of Adobe Creative Cloud(InDesign, Illustrator, Photoshop, Adobe CS, MS Publisher) and Microsoft Office</li><li>Ability to work on MAC and PC (cross platform)</li><li>Fluent in a variety of digital delivery formats (data visualization, interactive PDFs, motiongraphics, social media platforms, PPT, etc.)</li><li>Bachelor’s degree in fine arts or graphic design, media production, or related field</li><li>The ability to think creatively and deliver clever concepts</li><li>Excellent problem solving skills</li><li>Collaborative and team-oriented with excellent oral and written communications skills</li><li>Comfortable working in a fast-paced environment within tight deadlines</li><li>Strong work ethic with exceptional project management skills</li><li>Can work effectively with all levels of management and on virtual teams</li><li>Demonstrate initiative and innovation appropriate to the assignment and timeframe</li><li>Excellent written and verbal communication skills</li></ul>",6/13/2017 8:22,10/6/2017 7:19,NULL,1,10/5/2017 17:12,Winner Brands,24,36,NULL,NULL,-1,NULL,Branding$$$Graphic Design$$$Print Design$$$Communication Design,Bangalore
143,Principal / Senior UX Designer,"<p>We are looking for well-rounded UX Designer to join our awesome UX team, who can help us revamp our EPS productivity suite offering, which will have the BEST-IN CLASS experience. EPS Productivity Suites provides out-of-the-box workflows with MIS at the core for Print and Packaging customers. We are looking for someone who is enthusiastic and passionate, whoknows: content strategy, user research, usability, interaction design, information architecture and visual design. You should be capable of realizing our crazy concepts into, diagrams, interaction flows, functional specs, wireframes and pixel perfect designs. Loves to build slick, simple, intuitive and visually stunning interfaces. Are creative and has an “everything is possible” attitude. Strives for quality and has extreme attention to details, pixel perfect. We’d like someone:</p><ul><li>Exceptionally strong conceptualization capabilities, excellent problem-solving skills, and ability to work well in a collaborative team environment</li><li>Ensure the experience vision is guided by business and market requirements and driven by experience insights </li><li>Demonstrated ability to interpret and empathize with the user, to simplify the process, and to interpret that into a systematic user-centered UX solution </li><li>An exceptional understanding of fundamental design disciplines (typography, composition, color and animation) and principals (affordance, clustering, progressive disclosure, consistency, etc...)</li><li>Drive and represent design direction to team members, senior management, and key stakeholders</li><li>Direct and develop UX artifacts including personas streamlined scenarios, storyboards, information architecture, wireframes, visuals and interactive prototypes</li><li>Understand the array of technical constraints, user goals, and business requirements that shape customer-focused service products</li></ul>",NULL,"<ul><li>Proven industry experience including working with product/design teams through at least one full development cycle</li><li>Excellent communication, presentation, and organizational skills </li><li>Solid academic background in human-computer interaction or related field. BS or MS in Computer Science or related field.</li></ul>",6/15/2017 6:32,12/20/2017 5:29,NULL,1,12/19/2017 5:29,EFI India,36,108,1000000,1800000,NULL,NULL,Interaction Design$$$Information Architecture$$$Web Design$$$Mobile Design$$$UX Research,Bangalore
